"date","fisYr","ticker","compName","totalRev","country","cmnShrTraded","totalMktVal","industry","bidLow","askHigh","holdingPeriodReturn","avgPrc","avgShOut","avgShVol","ceoName","ceoStart","ceoEnd","ceoComp1","ceoComp2","ceoSalPctChg","ceoShares","ceoGender","ceoChg"
2008-06-30,2008,"AAON","AAON INC",140.237,"USA",6682792,332.8321,"3585",18.99,22.92,"-0.076118",19.4533333333333,17976,23195.6666666667,"Norman H. Asbjornson","01/01/1989",NA,361.69,3188.084,4.628,3451.757,"MALE",NA
2008-09-30,2008,"AAON","AAON INC",219.516,"USA",7544263,311.9767,"3585",17.8,21.5,"-0.148408",19.52,17701,25557.3333333333,"Norman H. Asbjornson","01/01/1989",NA,361.69,3188.084,4.628,3451.757,"MALE",NA
2008-12-31,2008,"AAON","AAON INC",279.725,"USA",9547471,359.3239,"3585",17.3,21.2,"0.105042",18.8033333333333,17200.3333333333,31999,"Norman H. Asbjornson","01/01/1989",NA,361.69,3188.084,4.628,3451.757,"MALE",NA
2009-03-31,2009,"AAON","AAON INC",63.965,"USA",6509297,311.1204,"3585",14.81,19.23,"0.167526",17.2533333333333,17188,22590.3333333333,"Norman H. Asbjornson","01/01/1989",NA,359.117,359.117,1.629,3454.551103,"MALE",NA
2009-06-30,2009,"AAON","AAON INC",132.562,"USA",5644311,341.7475,"3585",18.63,21.86,"-0.033654",20.0666666666667,17159.3333333333,19777.6666666667,"Norman H. Asbjornson","01/01/1989",NA,359.117,359.117,1.629,3454.551103,"MALE",NA
2009-09-30,2009,"AAON","AAON INC",191.054,"USA",7769040,344.9543,"3585",19.95,20.99,"-0.038314",20.19,17167.6666666667,26776,"Norman H. Asbjornson","01/01/1989",NA,359.117,359.117,1.629,3454.551103,"MALE",NA
2009-12-31,2009,"AAON","AAON INC",245.282,"USA",5142557,335.5204,"3585",18.61,19.97,"0.038543",18.8133333333333,17217,18096.6666666667,"Norman H. Asbjornson","01/01/1989",NA,359.117,359.117,1.629,3454.551103,"MALE",NA
2010-03-31,2010,"AAON","AAON INC",49.309,"USA",4491812,387.5032,"3585",21.01,22.83,"0.075095",21.4166666666667,17177,15768.6666666667,"Norman H. Asbjornson","01/01/1989",NA,369.796,369.796,0,3411.381029,"MALE",NA
2010-06-30,2010,"AAON","AAON INC",113.84,"USA",5192629,386.3866,"3585",22.91,24.78,"-0.048217",24.0466666666667,16939.3333333333,18132.6666666667,"Norman H. Asbjornson","01/01/1989",NA,369.796,369.796,0,3411.381029,"MALE",NA
2010-09-30,2010,"AAON","AAON INC",178.726,"USA",2984988,388.9973,"3585",22.07,24.28,"0.059937",23.5233333333333,16549,10695.6666666667,"Norman H. Asbjornson","01/01/1989",NA,369.796,369.796,0,3411.381029,"MALE",NA
2010-12-31,2010,"AAON","AAON INC",244.552,"USA",2465659,465.6343,"3585",26.67,29.265,"0.099805",26.1366666666667,16520,8768.66666666667,"Norman H. Asbjornson","01/01/1989",NA,369.796,369.796,0,3411.381029,"MALE",NA
2011-03-31,2011,"AAON","AAON INC",59.913,"USA",2803127,542.3236,"3585",28.48,32.9,"0.071661",30.1766666666667,16494.3333333333,10008.3333333333,"Norman H. Asbjornson","01/01/1989",NA,447.51,447.51,16.695,5126.35021,"MALE",NA
2011-06-30,2011,"AAON","AAON INC",128.989,"USA",3971601,538.7928,"3585",21.25,32.73,"-0.022552",29.4633333333333,19207.3333333333,10552,"Norman H. Asbjornson","01/01/1989",NA,447.51,447.51,16.695,5126.35021,"MALE",NA
2011-09-30,2011,"AAON","AAON INC",202.818,"USA",4798935,388.2848,"3585",15.08,17.52,"-0.100514",18.6466666666667,24658.3333333333,16914,"Norman H. Asbjornson","01/01/1989",NA,447.51,447.51,16.695,5126.35021,"MALE",NA
2012-12-31,2012,"AAON","AAON INC",303.114,"USA",4764472,511.6907,"3585",19.84,21.35,"-0.008551",20.9666666666667,24523.3333333333,15603,"Norman H. Asbjornson","01/01/1989",NA,990.066,990.066,2.861,4903.767988,"MALE",NA
2013-09-30,2013,"AAON","AAON INC",247.764,"USA",7186048,975.0176,"3585",24.26,26.86,"0.138937",23.8166666666667,36724,24621.3333333333,"Norman H. Asbjornson","01/01/1989",NA,1124.996,1124.996,0,7134.745333,"MALE",NA
2013-12-31,2013,"AAON","AAON INC",321.14,"USA",6471592,1172.9165,"3585",29.11,32.74,"0.038349",29.91,36723,22528,"Norman H. Asbjornson","01/01/1989",NA,1124.996,1124.996,0,7134.745333,"MALE",NA
2014-03-31,2014,"AAON","AAON INC",76.367,"USA",8031228,1021.4912,"3585",27.29,30.76,"-0.067269",29.1366666666667,36683.6666666667,26720.6666666667,"Norman H. Asbjornson","01/01/1989",NA,2358.784,2358.784,26.383,11261.571,"MALE",NA
2014-06-30,2014,"AAON","AAON INC",168.677,"USA",7822450,1230.1505,"3585",30.7,33.6,"0.078526",31.0233333333333,36630,26089.3333333333,"Norman H. Asbjornson","01/01/1989",NA,2358.784,2358.784,26.383,11261.571,"MALE",NA
2014-09-30,2014,"AAON","AAON INC",271.594,"USA",10114125,926.3646,"3585",17.01,19.12,"-0.088424",18.43,54828.3333333333,31735.6666666667,"Norman H. Asbjornson","01/01/1989",NA,2358.784,2358.784,26.383,11261.571,"MALE",NA
2014-12-31,2014,"AAON","AAON INC",356.322,"USA",10957201,1210.0004,"3585",20.54,22.41,"0.080598",20.92,54324.3333333333,36612.6666666667,"Norman H. Asbjornson","01/01/1989",NA,2358.784,2358.784,26.383,11261.571,"MALE",NA
2015-03-31,2015,"AAON","AAON INC",76.768,"USA",8320842,1328.8146,"3585",21.79,24.71,"0.089738",22.95,54090,27750,"Norman H. Asbjornson","01/01/1989",NA,3505.532,3092.339,6.958,11240.696,"MALE",NA
2015-06-30,2015,"AAON","AAON INC",167.043,"USA",9470503,1222.0253,"3585",22.39,24.11,"-0.043937",23.3866666666667,54190.6666666667,31572.3333333333,"Norman H. Asbjornson","01/01/1989",NA,3505.532,3092.339,6.958,11240.696,"MALE",NA
2015-09-30,2015,"AAON","AAON INC",261.403,"USA",9419068,1049.2138,"3585",19.12,20.59,"-0.062863",20.75,54211.3333333333,31410.3333333333,"Norman H. Asbjornson","01/01/1989",NA,3505.532,3092.339,6.958,11240.696,"MALE",NA
2015-12-31,2015,"AAON","AAON INC",358.632,"USA",10634432,1230.9386,"3585",22.74,24.53,"-0.060299",22.8,53732.6666666667,35543.3333333333,"Norman H. Asbjornson","01/01/1989",NA,3505.532,3092.339,6.958,11240.696,"MALE",NA
2016-03-31,2016,"AAON","AAON INC",85.422,"USA",10154086,1485.68,"3585",25.19,28.02,"0.129032",24.7766666666667,53040.3333333333,33848.3333333333,"Norman H. Asbjornson","01/01/1989",NA,4492.198,3758.508,0,9775.582,"MALE",NA
2016-06-30,2016,"AAON","AAON INC",187.741,"USA",11247126,1458.2501,"3585",25.85,28.04,"0.006560",27.1566666666667,53018,37490.3333333333,"Norman H. Asbjornson","01/01/1989",NA,4492.198,3758.508,0,9775.582,"MALE",NA
2016-09-30,2016,"AAON","AAON INC",292.309,"USA",7438131,1521.2349,"3585",26.87,29.04,"0.018375",27.8666666666667,52878,24815,"Norman H. Asbjornson","01/01/1989",NA,4492.198,3758.508,0,9775.582,"MALE",NA
2017-03-31,2017,"AAON","AAON INC",86.078,"USA",10044665,1860.2231,"3585",34.8,37,"0.050520",34.3166666666667,52638.3333333333,33521,"Norman H. Asbjornson","01/01/1989",NA,4430.917,2709.936,0,9815.887,"MALE",NA
2017-06-30,2017,"AAON","AAON INC",187.404,"USA",7841982,1938.8996,"3585",35.65,38.1,"0.022253",36.5583333333333,52605.3333333333,26152,"Norman H. Asbjornson","01/01/1989",NA,4430.917,2709.936,0,9815.887,"MALE",NA
2018-12-31,2018,"AAON","AAON INC",433.947,"USA",13326417,1822.8045,"3585",32.42,38.79,"-0.076153",35.8333333333333,52060.3333333333,44532,"Norman H. Asbjornson","01/01/1989",NA,2919.441,2599.398,0,9815.161,"MALE",NA
2019-09-30,2019,"AAON","AAON INC",346.759,"USA",8602731,2394.3469,"3585",45.5,51.14,"-0.042318",48.2366666666667,52111,28783.6666666667,"Norman H. Asbjornson","01/01/1989",NA,4302.658,2022.292,0,9891.351,"MALE",NA
2019-12-31,2019,"AAON","AAON INC",469.333,"USA",9825279,2573.2234,"3585",47.58,50.3,"0.000810",49.1466666666667,52091.6666666667,32704.3333333333,"Norman H. Asbjornson","01/01/1989",NA,4302.658,2022.292,0,9891.351,"MALE",NA
2008-06-30,2008,"AAPL","APPLE INC",24584,"USA",2167461160,148309.4777,"3663",167.44,189.42999,"-0.112901",176.713333333333,882997.666666667,7249657,"Timothy D. Cook","08/24/2011",NA,27087.31,27087.31,2.692,13.453,"MALE",NA
2008-09-30,2008,"AAPL","APPLE INC",32479,"USA",2025043080,100967.1332,"3663",105.26,166.96001,"-0.329558",147.38,886692.666666667,6775808,"Timothy D. Cook","08/24/2011",NA,27087.31,27087.31,2.692,13.453,"MALE",NA
2008-12-31,2009,"AAPL","APPLE INC",11880,"USA",3034829654,75996.9203,"3663",85.04,100.06,"-0.078990",95.2033333333333,889428.333333333,10175108.3333333,"Timothy D. Cook","08/24/2011",NA,1641.317,1641.317,11.343,13.741,"MALE",NA
2009-03-31,2009,"AAPL","APPLE INC",20964,"USA",1677798400,93757.7894,"3663",83.11,109.87,"0.177024",94.8533333333333,891072.666666667,5803532,"Timothy D. Cook","08/24/2011",NA,1641.317,1641.317,11.343,13.741,"MALE",NA
2009-06-30,2009,"AAPL","APPLE INC",30698,"USA",1208770110,127579.5361,"3663",134.00999,144.67,"0.048745",134.689996666667,893318.333333333,4148725,"Timothy D. Cook","08/24/2011",NA,1641.317,1641.317,11.343,13.741,"MALE",NA
2009-09-30,2009,"AAPL","APPLE INC",42905,"USA",1035418930,166779.0421,"3663",165.17999,186.1519,"0.101896",172.316673333333,897146.666666667,3567413.66666667,"Timothy D. Cook","08/24/2011",NA,1641.317,1641.317,11.343,13.741,"MALE",NA
